event_id,match_id,minute,event_type,team_id,player_id
1,1,9,Goal,1,16
2,1,9,Assist,1,6
3,1,55,Red Card,2,39
4,1,55,VAR Review,2,39
5,1,67,Goal,1,9
6,1,67,Assist,1,25
7,1,84,Red Card,2,37
8,1,86,Red Card,1,3
9,2,59,Goal,4,85
10,2,59,Assist,4,83
11,2,67,Goal,3,58
12,2,67,Assist,3,71
13,2,80,Goal,3,70
14,2,80,Assist,3,58
15,3,21,Goal,6,155
16,3,21,Assist,6,135
17,3,78,Goal,5,113
18,3,78,Assist,5,128
19,4,7,Goal,13,354
20,4,31,Goal,13,332
21,4,31,Assist,13,322
22,4,45,Goal,13,332
23,4,45,Assist,13,329
24,4,73,Goal,14,349
25,4,73,Assist,14,357
26,4,90,Goal,13,319
27,4,90,Assist,13,328
28,5,17,Goal,8,189
29,5,90,Goal,7,184
30,6,21,Goal,10,245
31,6,21,Assist,10,244
32,6,32,Goal,9,215
33,6,32,Assist,9,216
34,7,28,Goal,12,293
35,8,27,Goal,15,381
36,8,27,Assist,15,388
37,8,75,Goal,15,372
38,9,6,Goal,17,439
39,9,6,Assist,17,433
40,9,21,Goal,18,450
41,9,38,Goal,17,431
42,9,38,Assist,17,434
43,9,45,Goal,17,423
44,9,47,Goal,17,426
45,9,47,Assist,17,422
46,9,68,Goal,17,434
47,9,68,Assist,17,442
48,9,78,Goal,17,442
49,9,78,Assist,17,422
50,9,88,Goal,17,423
51,9,88,Assist,17,442
52,10,50,Goal,21,524
53,10,50,Assist,21,528
54,10,57,Goal,22,559
55,10,57,Assist,22,554
56,10,64,Goal,21,544
57,10,64,Assist,21,528
58,10,88,Goal,22,561
59,10,88,Assist,22,565
60,11,90,Goal,19,483
61,11,90,Assist,19,473
62,12,7,Goal,23,590
63,12,30,Goal,23,581
64,12,30,Assist,23,589
65,12,43,Goal,24,602
66,12,43,Assist,24,608
67,12,59,Goal,23,589
68,12,59,Assist,23,581
69,12,84,Goal,23,591
70,12,84,Assist,23,581
71,12,90,Goal,23,590
72,12,90,Assist,23,579
73,14,19,Goal,26,658
74,14,19,Assist,26,660
75,14,66,Goal,25,653
76,15,41,Goal,31,784
77,15,80,Goal,32,826
78,16,7,Goal,28,713
79,16,7,Assist,28,711
80,16,32,Goal,27,699
81,16,54,Goal,28,713
82,16,54,Assist,28,711
83,16,64,Goal,27,684
84,16,64,Assist,27,699
85,17,66,Goal,33,842
86,17,66,Assist,33,843
87,17,82,Goal,33,844
88,17,82,Assist,33,846
89,17,90,Goal,33,842
90,17,90,Assist,33,843
91,17,90,Goal,34,878
92,17,90,Assist,34,871
93,18,29,Goal,36,919
94,18,29,Assist,36,915
95,18,39,Goal,35,887
96,18,39,Assist,35,900
97,18,43,Goal,36,919
98,18,76,Goal,36,914
99,18,76,Assist,36,920
100,18,90,Goal,36,887
101,19,17,Goal,37,946
102,19,17,Assist,37,943
103,19,60,Goal,37,946
104,19,76,Goal,37,946
105,19,76,Assist,37,951
106,20,20,Goal,39,1006
107,20,20,Assist,39,992
108,20,50,Goal,40,1023
109,20,50,Assist,40,1022
110,20,76,Goal,39,1019
111,20,90,Goal,39,995
112,21,6,Goal,41,1055
113,21,6,Assist,41,1058
114,21,45,Goal,42,1086
115,21,45,Assist,42,1092
116,22,12,Goal,45,1153
117,22,36,Goal,46,1186
118,22,36,Assist,46,1187
119,22,42,Goal,45,1153
120,22,42,Assist,45,1148
121,22,45,Goal,46,1196
122,22,45,Assist,46,1184
123,22,47,Goal,45,1154
124,22,47,Assist,45,1152
125,22,85,Goal,45,1155
126,22,85,Assist,45,1151
127,23,90,Goal,47,1199
128,23,90,Assist,47,1207
129,24,40,Goal,44,1120
130,24,40,Assist,44,1125
131,24,60,Goal,43,1114
132,24,65,Goal,44,1125
133,24,65,Assist,44,1132
134,24,90,Goal,44,1139
135,24,90,Assist,44,1137
136,25,12,Yellow Card,3,56
137,25,42,Yellow Card,1,4
138,25,50,Goal,1,7
139,25,78,Yellow Card,1,6
140,26,6,Goal,4,96
141,26,6,Assist,4,102
142,26,33,Yellow Card,2,30
143,26,40,Yellow Card,2,31
144,26,76,Yellow Card,4,85
145,26,81,VAR Review,2,38
146,26,83,Goal,2,30
147,27,16,Goal,5,113
148,27,29,Goal,5,114
149,27,30,Yellow Card,7,168
150,27,45,Goal,5,114
151,27,45,Yellow Card,5,112
152,27,60,Red Card,7,170
153,27,60,VAR Review,7,170
154,27,64,Goal,5,129
155,27,75,Goal,5,182
156,27,85,Red Card,7,179
157,27,90,Goal,5,114
158,27,90,Assist,5,129
159,28,35,Yellow Card,8,192
160,28,55,Yellow Card,6,146
161,28,74,Goal,8,191
162,28,74,Assist,8,192
163,28,80,Red Card,6,134
164,28,84,Goal,8,199
